BELLAVISTA	BELLAVISTA	BELLAVISTA	1238898	0	0180 SEÑOR DE LOS MILAGROS	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	ISRAEL URIARTE	1352186	0	0002	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	BELLO HORIZONTE	1371012	0	0008 JULIO RAMON RIBEYRO	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	EL CHALLUAL	1371053	0	0689	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	NUEVO ORIENTE	1400902	0	0751	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	YANAYACU	1438308	0	0044	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	NUEVO PROGRESO	1438324	0	421	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	LA PERLA DE PONACILLO	1438332	0	422	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO SAN MARTIN	1472349	0	231	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO TRUJILLO	1565589	0	0001 ALBERTO UPIACHIHUA PUYO	A2 - Inicial - Jardín
BELLAVISTA	SAN RAFAEL	SAN JOSE	1565597	0	0005 SAN JOSE OBRERO	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	BUENOS AIRES	1565605	0	0116 SAGRADO CORAZON DE JESUS	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	ANDOAS	1565613	0	0123 REYNALDO PAREDES SAAVEDRA	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	VAINILLA	1565621	0	0266 MIGUEL GRAU SEMINARIO	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LAS PALMAS	1565639	0	0688	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LOS CEDROS	1565647	0	0714 CIRO ALEGRIA BAZAN	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	SELVA ANDINA	1565654	0	01367	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	FLOR DE CAFE	1565662	0	477	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	SAN JUAN DE SHITARI	1565670	0	478	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	GONZALES PRADA	1565688	0	479	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO SAN MIGUEL	1565696	0	480	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	LOS ANGELES	1565852	0	0080	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	SAN RAMON	1565860	0	0141	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	SANTA FLOR	1565878	0	0298	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	SAN JUAN	1565951	0	0779	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	SANTA ELENA	1565969	0	467	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	DOS DE MAYO	1565977	0	468	A2 - Inicial - Jardín
BELLAVISTA	SAN RAFAEL	NUEVO CHIMBOTE	1593409	0	230 MI PEQUEÑO UNIVERSO	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	BELLAVISTA	1602291	0	1121	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	YACUSISA	1602309	0	1122	A2 - Inicial - Jardín
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	1602317	0	CORPUS CHRISTE	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	ALTO YANAYACU	1602440	0	0732 JOSE DEL CARMEN MARIN ARISTA	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	MIRAFLORES	1625409	0	0716 MICAELA BASTIDAS	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	ALTO PARAISO	1684109	0	1164	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	PUENTE JUANITA	1684117	0	1165	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	EL TRIUNFO	1684125	0	1166	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LOS ANGELES	1684133	0	1167	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	RAMON CASTILLA	1684141	0	1168	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	LOS OLIVOS	1692003	0	1169	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	PACASMAYO	1692011	0	1170	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	EL JORDAN	1711258	0	1249	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO JAEN	1711266	0	1250	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	PORVENIR DEL PARAISO	1711274	0	1251	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LOS CLAVELES	1711282	0	1252	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO CHOTALO	1711290	0	1253	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LAS ALMENDRAS	1746551	0	1319	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	FLOR DE VALLE	1746569	0	1320	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	PLANTANILLO	1746577	0	1321	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	NUEVO PROGRESO	1746585	0	1322	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	NUEVO TACABAMBA	1782416	0	0719 SAN ANTONIO DE PADUA	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	SAN JUAN DE MIRAFLORES	3015583	0	01361	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	CIELITO LINDO	3015963	0	1374 EDGAR ANTONIO CHAVEZ GIL	A2 - Inicial - Jardín
