HUALLAGA	TINGO DE SAPOSOA	TINGO DE SAPOSOA	0548131	0	0010 JULIO PIZARRO CARDENAS	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	BARRANCA	0548818	0	0772 JOSE F. SANCHEZ CARRION	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	NUEVO LIMA	0548917	0	0084 ANDRES AVELINO CACERES DORREGARAY	F0 - Secundaria
BELLAVISTA	SAN PABLO	FAUSA LAMISTA	0603282	0	0015 JOSE SANTOS CHOCANO GASTAÑODI	F0 - Secundaria
BELLAVISTA	BELLAVISTA	LAS MERCEDES	0726299	0	0766 RUBEN CACHIQUE SANGAMA	F0 - Secundaria
BELLAVISTA	SAN RAFAEL	LA LIBERTAD	0726315	0	0759 FRANCISCO BOLOGNESI	F0 - Secundaria
BELLAVISTA	BELLAVISTA	LIMON	0726323	0	0760 JOSE OLAYA BALANDRA	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	DOS UNIDOS	0847244	0	AGROPECUARIO DOS UNIDOS	F0 - Secundaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	1018852	0	0208 SANTIAGO ANTUNEZ DE MAYOLO	F0 - Secundaria
BELLAVISTA	SAN PABLO	HUINGOYACU	1018936	0	0758 RICARDO PALMA	F0 - Secundaria
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	1018977	0	0700 SAN JUAN BAUTISTA	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	NUEVO TARAPOTO	1124106	0	0577	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	CUZCO	1238252	0	0206 ISAAC NEWTON	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	YANAYACU	1345297	0	0044	F0 - Secundaria
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	1352160	0	CORPUS CHRISTE	F0 - Secundaria
BELLAVISTA	SAN PABLO	FAUSA SAPINA	1371038	0	0174	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	PUERTO BERMUDEZ	1371046	0	0678 JUAN PINCHI URQUIA	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	EL CHALLUAL	1371061	0	0689	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	NUEVO ARICA	1371079	0	0250 LOS HEROES DE ARICA	F0 - Secundaria
BELLAVISTA	BELLAVISTA	PERUATE	1411123	0	0194 TEODOCIA NAVARRO VEGA	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	INCAICO	1451392	0	0238 MANCO CAPAC	F0 - Secundaria
EL DORADO	SANTA ROSA	SANTA ELENA	1593235	0	0376 MARIANO MELGAR Y VALDIVIESO	F0 - Secundaria
BELLAVISTA	BELLAVISTA	HUACHO	1593359	0	HUACHO - ALLCOYACU	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	JOSE OLAYA	1593417	0	0207 FERNANDO BELAUNDE TERRY	F0 - Secundaria
BELLAVISTA	BELLAVISTA	NUEVA FLORIDA	1593425	0	NUEVA FLORIDA	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	ISRAEL URIARTE	1593433	0	ISRAEL URIARTE	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	LAS PALMAS	1691443	0	0688	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	BELLO HORIZONTE	1718535	0	0008 JULIO RAMON RIBEYRO	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	NUEVO TRUJILLO	1718543	0	1309	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	FLOR DE CAFE	1718550	0	1310	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	NUEVO PROGRESO	1746593	0	0475	F0 - Secundaria
BELLAVISTA	BELLAVISTA	VICTOR RAUL HAYA DE LA TORRE	1746601	0	0482 CIRO SALDAÑA GIRALDO	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	SAN JUAN	1760503	0	0779	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	SAN JUAN DE SHITARI	1774256	0	0721	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	GONZALES PRADA	1783117	0	0242 BENJAMIN TORRES TORRES	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	VISTA ALEGRE	1785567	0	0489 JORGE CHAVEZ DARNELL	F0 - Secundaria
BELLAVISTA	BAJO BIAVO	LOS OLIVOS	1785575	0	0647	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	SELVA ANDINA	1790088	0	01367	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	ALTO YANAYACU	1793298	0	0732 JOSE DEL CARMEN MARIN ARISTA	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	LOS ANGELES	1800960	0	0003 ELEAZAR FASABI ZATALAYA	F0 - Secundaria
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	3000924	0	HOGAR NAZARET DEL CORAZON INMACULADO DE MARIA	F0 - Secundaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	3008125	0	NUESTRA SEÑORA DEL ROCIO	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	PUENTE JUANITA	3015591	0	0727 INTERCULTURAL BILINGUE	F0 - Secundaria
BELLAVISTA	ALTO BIAVO	NUEVO SAN MARTIN	3023876	0	0122 JOSE CARLOS MARIATEGUI	F0 - Secundaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	3026325	0	SANTA MARIA GORETTI	F0 - Secundaria
